origin,AggregateType,staked_length,unstaked_length,staked_coverage,overall_coverage,fully_connected_coverage,possible_peak_connected_coverage,staked_fully_connected_coverage,staked_possible_peak_connected_coverage
mrgn3H4u,Mean,1535,490,0.859,0.579,0.222,0.371,0.434,0.727
mrgn3H4u,Median,1538,483,0.860,0.577,0.228,0.397,0.447,0.777
mrgn28Bh,Mean,1536,486,0.859,0.578,0.270,0.384,0.528,0.752
mrgn28Bh,Median,1539,482,0.861,0.576,0.266,0.406,0.521,0.796
Df8inLU7,Mean,1545,494,0.864,0.583,0.228,0.373,0.446,0.731
Df8inLU7,Median,1548,489,0.866,0.584,0.211,0.379,0.412,0.742
Atom7LRk,Mean,1525,491,0.853,0.576,0.269,0.404,0.526,0.792
Atom7LRk,Median,1533,484,0.858,0.578,0.277,0.427,0.542,0.836
2mMGsb5u,Mean,1537,494,0.860,0.580,0.285,0.406,0.558,0.795
2mMGsb5u,Median,1537,499,0.860,0.582,0.293,0.404,0.574,0.791
5cQ27F39,Mean,1536,480,0.859,0.576,0.221,0.393,0.434,0.769
5cQ27F39,Median,1537,477,0.860,0.574,0.225,0.405,0.440,0.793
FZrSKKsK,Mean,1543,506,0.863,0.585,0.246,0.384,0.482,0.752
FZrSKKsK,Median,1545,507,0.864,0.586,0.270,0.399,0.529,0.780
A95EBv1i,Mean,1539,493,0.861,0.581,0.239,0.391,0.468,0.767
A95EBv1i,Median,1536,498,0.859,0.581,0.247,0.388,0.483,0.760
RoYFUUD7,Mean,1537,492,0.860,0.580,0.245,0.377,0.480,0.739
RoYFUUD7,Median,1539,493,0.861,0.579,0.264,0.399,0.518,0.781
GfeWCFyn,Mean,1538,489,0.860,0.579,0.250,0.407,0.489,0.797
GfeWCFyn,Median,1535,501,0.859,0.582,0.258,0.405,0.505,0.793
9Ukj3Pky,Mean,1495,464,0.836,0.560,0.156,0.258,0.305,0.505
9Ukj3Pky,Median,1496,474,0.837,0.563,0.147,0.262,0.288,0.514
3KNGMiXw,Mean,1534,505,0.858,0.583,0.188,0.366,0.369,0.716
3KNGMiXw,Median,1536,509,0.859,0.585,0.164,0.382,0.321,0.747
23U4mgK9,Mean,1519,471,0.850,0.569,0.239,0.352,0.467,0.689
23U4mgK9,Median,1527,465,0.854,0.571,0.234,0.387,0.459,0.757
2oHUYyW2,Mean,1529,485,0.856,0.576,0.251,0.398,0.491,0.779
2oHUYyW2,Median,1532,486,0.857,0.575,0.258,0.405,0.506,0.794
forb5u56,Mean,1529,493,0.855,0.578,0.244,0.370,0.477,0.725
forb5u56,Median,1533,493,0.857,0.576,0.249,0.386,0.488,0.757
c3rtoMCH,Mean,1460,460,0.817,0.549,0.210,0.324,0.412,0.634
c3rtoMCH,Median,1537,486,0.860,0.580,0.205,0.378,0.402,0.739
32G1W4XL,Mean,1540,504,0.861,0.584,0.263,0.385,0.514,0.754
32G1W4XL,Median,1539,501,0.861,0.583,0.268,0.391,0.524,0.766
gangtCrQ,Mean,1538,483,0.861,0.578,0.207,0.380,0.405,0.745
gangtCrQ,Median,1537,483,0.860,0.578,0.220,0.372,0.430,0.729
BeaCHioS,Mean,1537,499,0.860,0.582,0.257,0.368,0.502,0.720
BeaCHioS,Median,1536,490,0.859,0.582,0.301,0.401,0.589,0.785
akb7XJkB,Mean,1533,500,0.858,0.581,0.240,0.379,0.469,0.742
akb7XJkB,Median,1541,499,0.862,0.583,0.246,0.374,0.481,0.733
spcti6GQ,Mean,1534,496,0.858,0.580,0.236,0.363,0.462,0.710
spcti6GQ,Median,1538,498,0.860,0.582,0.243,0.390,0.475,0.764
ciTyL6re,Mean,1536,495,0.859,0.580,0.258,0.401,0.505,0.784
ciTyL6re,Median,1538,499,0.860,0.581,0.286,0.414,0.561,0.810
E4r87mnk,Mean,1431,450,0.801,0.537,0.227,0.342,0.445,0.669
E4r87mnk,Median,1532,481,0.857,0.577,0.249,0.393,0.487,0.769
3C2cXXVH,Mean,1530,515,0.856,0.584,0.165,0.262,0.323,0.514
3C2cXXVH,Median,1528,510,0.855,0.584,0.112,0.228,0.220,0.447
A1GgCvSs,Mean,1538,489,0.860,0.579,0.237,0.393,0.463,0.769
A1GgCvSs,Median,1539,496,0.861,0.581,0.242,0.398,0.474,0.780
4VrjyXQT,Mean,1534,492,0.858,0.579,0.225,0.370,0.441,0.725
4VrjyXQT,Median,1539,495,0.861,0.581,0.247,0.371,0.484,0.727
R1parD2C,Mean,1533,492,0.858,0.579,0.266,0.388,0.520,0.761
R1parD2C,Median,1538,496,0.860,0.578,0.275,0.405,0.538,0.794
73hojLdq,Mean,1531,493,0.857,0.578,0.261,0.385,0.511,0.755
73hojLdq,Median,1537,489,0.860,0.578,0.278,0.396,0.544,0.776
DB7DNWMV,Mean,1548,445,0.866,0.569,0.279,0.420,0.546,0.823
DB7DNWMV,Median,1548,445,0.866,0.569,0.279,0.420,0.546,0.823
FSVdqBzx,Mean,1535,485,0.859,0.577,0.218,0.364,0.426,0.712
FSVdqBzx,Median,1537,472,0.860,0.574,0.209,0.391,0.408,0.766
BeSovDCz,Mean,1538,499,0.861,0.582,0.239,0.374,0.468,0.732
BeSovDCz,Median,1542,505,0.862,0.584,0.269,0.401,0.527,0.786
61QB1Evn,Mean,1536,513,0.859,0.586,0.281,0.406,0.551,0.795
61QB1Evn,Median,1537,511,0.860,0.584,0.290,0.409,0.568,0.800
8ZvC5d39,Mean,1525,493,0.853,0.577,0.222,0.367,0.434,0.719
8ZvC5d39,Median,1533,497,0.857,0.578,0.230,0.400,0.451,0.784
AsMpvJ3D,Mean,1533,485,0.858,0.577,0.241,0.379,0.472,0.743
AsMpvJ3D,Median,1532,479,0.857,0.574,0.262,0.408,0.513,0.798
B4dn3WWS,Mean,1501,471,0.840,0.564,0.192,0.303,0.375,0.593
B4dn3WWS,Median,1504,473,0.841,0.564,0.174,0.294,0.341,0.576
12ashmTi,Mean,1535,499,0.859,0.581,0.273,0.383,0.534,0.750
12ashmTi,Median,1537,501,0.860,0.580,0.306,0.401,0.599,0.786
5FbKKGdE,Mean,1531,497,0.857,0.580,0.237,0.370,0.463,0.724
5FbKKGdE,Median,1534,496,0.858,0.578,0.273,0.396,0.535,0.775
93Q99nhd,Mean,1534,501,0.858,0.582,0.279,0.401,0.547,0.785
93Q99nhd,Median,1536,499,0.859,0.582,0.294,0.403,0.576,0.790
HH5dA42X,Mean,1533,494,0.858,0.579,0.214,0.367,0.419,0.718
HH5dA42X,Median,1537,495,0.860,0.579,0.220,0.391,0.431,0.766
Ey3DkEVb,Mean,1536,494,0.859,0.580,0.253,0.377,0.495,0.738
Ey3DkEVb,Median,1538,489,0.860,0.580,0.272,0.388,0.533,0.761
4XspXDcJ,Mean,1528,485,0.855,0.575,0.225,0.393,0.441,0.769
4XspXDcJ,Median,1533,488,0.857,0.572,0.234,0.418,0.458,0.819
qZMH9GWn,Mean,1530,489,0.856,0.577,0.259,0.392,0.507,0.768
qZMH9GWn,Median,1528,491,0.855,0.577,0.276,0.410,0.541,0.803
BjuD62v9,Mean,1530,483,0.856,0.575,0.264,0.385,0.517,0.754
BjuD62v9,Median,1537,485,0.860,0.576,0.283,0.398,0.555,0.780
9BTM7PK5,Mean,1526,485,0.854,0.575,0.227,0.360,0.445,0.706
9BTM7PK5,Median,1529,478,0.855,0.576,0.243,0.374,0.477,0.733
