origin,AggregateType,staked_length,unstaked_length,staked_coverage,overall_coverage,fully_connected_coverage,possible_peak_connected_coverage,staked_fully_connected_coverage,staked_possible_peak_connected_coverage
AvGYUXkV,Mean,1527,483,0.855,0.575,0.283,0.386,0.554,0.756
AvGYUXkV,Median,1530,487,0.856,0.575,0.290,0.409,0.568,0.801
B9gWUXAj,Mean,1533,496,0.858,0.580,0.257,0.381,0.503,0.746
B9gWUXAj,Median,1539,497,0.861,0.582,0.249,0.389,0.487,0.763
9tNh1oRW,Mean,1528,499,0.855,0.579,0.227,0.352,0.445,0.689
9tNh1oRW,Median,1538,506,0.860,0.583,0.247,0.392,0.483,0.767
91xg7QJs,Mean,1539,502,0.861,0.583,0.259,0.396,0.507,0.775
91xg7QJs,Median,1539,510,0.861,0.584,0.276,0.401,0.540,0.786
2zAbHUpE,Mean,1521,470,0.851,0.569,0.232,0.368,0.454,0.720
2zAbHUpE,Median,1532,470,0.857,0.571,0.221,0.401,0.432,0.784
BJAnMFiD,Mean,1541,502,0.862,0.584,0.259,0.384,0.508,0.753
BJAnMFiD,Median,1539,508,0.861,0.585,0.275,0.396,0.539,0.776
AfDqsQKr,Mean,1536,491,0.859,0.579,0.258,0.389,0.505,0.762
AfDqsQKr,Median,1541,485,0.862,0.577,0.275,0.406,0.539,0.795
AWLPM9d6,Mean,1530,490,0.856,0.577,0.242,0.354,0.475,0.693
AWLPM9d6,Median,1534,495,0.858,0.577,0.254,0.383,0.498,0.751
CuaUxWfP,Mean,1529,486,0.855,0.576,0.276,0.395,0.541,0.774
CuaUxWfP,Median,1535,486,0.859,0.576,0.273,0.413,0.535,0.808
48Dactjx,Mean,1530,479,0.856,0.574,0.266,0.391,0.521,0.765
48Dactjx,Median,1532,487,0.857,0.576,0.258,0.417,0.505,0.816
F84kSGMU,Mean,1537,505,0.860,0.584,0.247,0.372,0.484,0.728
F84kSGMU,Median,1538,511,0.860,0.585,0.257,0.389,0.503,0.761
AptafqHR,Mean,1531,493,0.857,0.579,0.233,0.396,0.456,0.775
AptafqHR,Median,1533,502,0.857,0.583,0.233,0.407,0.456,0.797
Cbffhd9F,Mean,1533,490,0.857,0.578,0.254,0.385,0.498,0.754
Cbffhd9F,Median,1531,485,0.856,0.580,0.264,0.393,0.516,0.770
4e2KvSCg,Mean,1532,472,0.857,0.572,0.278,0.374,0.544,0.732
4e2KvSCg,Median,1534,475,0.858,0.575,0.286,0.412,0.560,0.806
X5F9yBJp,Mean,1535,487,0.859,0.578,0.225,0.391,0.441,0.766
X5F9yBJp,Median,1539,484,0.861,0.577,0.223,0.413,0.437,0.809
XTkN4iBD,Mean,1536,497,0.859,0.581,0.256,0.368,0.501,0.722
XTkN4iBD,Median,1541,501,0.862,0.584,0.255,0.397,0.499,0.778
6aHUQzbJ,Mean,1539,516,0.861,0.587,0.288,0.393,0.564,0.770
6aHUQzbJ,Median,1540,518,0.861,0.589,0.312,0.404,0.612,0.790
BXnrt36f,Mean,1535,489,0.859,0.578,0.256,0.391,0.501,0.766
BXnrt36f,Median,1535,490,0.859,0.579,0.252,0.408,0.494,0.799
Cq3GbqG7,Mean,1537,498,0.860,0.582,0.247,0.363,0.484,0.712
Cq3GbqG7,Median,1539,498,0.861,0.582,0.268,0.402,0.524,0.787
UxBFapto,Mean,1533,489,0.858,0.578,0.228,0.360,0.447,0.705
UxBFapto,Median,1535,488,0.859,0.577,0.215,0.386,0.421,0.756
6UFmHMgP,Mean,1527,489,0.854,0.576,0.201,0.325,0.394,0.636
6UFmHMgP,Median,1533,478,0.857,0.574,0.206,0.365,0.404,0.715
GAvEvUKf,Mean,1533,490,0.858,0.578,0.277,0.398,0.542,0.780
GAvEvUKf,Median,1537,495,0.860,0.580,0.286,0.411,0.560,0.804
93P67u58,Mean,1533,504,0.858,0.582,0.289,0.396,0.565,0.775
93P67u58,Median,1539,510,0.861,0.581,0.296,0.406,0.581,0.795
DnY46x3H,Mean,1539,489,0.861,0.580,0.283,0.408,0.555,0.798
DnY46x3H,Median,1540,500,0.861,0.584,0.274,0.415,0.536,0.813
3K4LmZVu,Mean,1492,466,0.835,0.560,0.194,0.293,0.379,0.574
3K4LmZVu,Median,1497,465,0.838,0.562,0.196,0.297,0.384,0.582
FaHURG5s,Mean,1539,489,0.861,0.579,0.275,0.401,0.539,0.785
FaHURG5s,Median,1537,497,0.860,0.582,0.288,0.415,0.565,0.813
GafF2qoG,Mean,nan,nan,nan,nan,nan,nan,nan,nan
GafF2qoG,Median,nan,nan,nan,nan,nan,nan,nan,nan
Cpdx8bAw,Mean,1524,483,0.853,0.573,0.259,0.380,0.508,0.744
Cpdx8bAw,Median,1534,491,0.858,0.578,0.226,0.394,0.442,0.772
J1w9jrni,Mean,1535,486,0.859,0.578,0.247,0.384,0.483,0.753
J1w9jrni,Median,1535,497,0.859,0.579,0.269,0.397,0.527,0.777
9Ucv8CjY,Mean,1530,496,0.856,0.579,0.227,0.350,0.445,0.686
9Ucv8CjY,Median,1538,502,0.860,0.583,0.230,0.400,0.450,0.783
8KtF9eXQ,Mean,1529,482,0.855,0.574,0.272,0.390,0.533,0.764
8KtF9eXQ,Median,1533,479,0.858,0.572,0.269,0.406,0.527,0.796
8CzsSMYc,Mean,1529,506,0.855,0.581,0.261,0.409,0.512,0.801
8CzsSMYc,Median,1532,489,0.857,0.576,0.252,0.420,0.493,0.823
FegPic4d,Mean,1531,490,0.857,0.577,0.255,0.371,0.498,0.727
FegPic4d,Median,1535,497,0.859,0.579,0.284,0.399,0.556,0.781
BJafMGt4,Mean,1535,489,0.859,0.578,0.249,0.366,0.488,0.717
BJafMGt4,Median,1535,491,0.859,0.578,0.280,0.398,0.548,0.780
2vTeoSz2,Mean,1536,487,0.859,0.578,0.269,0.381,0.527,0.746
2vTeoSz2,Median,1535,492,0.859,0.581,0.296,0.404,0.579,0.790
BR9JfwDS,Mean,1527,504,0.854,0.580,0.283,0.384,0.554,0.751
BR9JfwDS,Median,1530,505,0.856,0.581,0.292,0.397,0.572,0.777
HpszAuia,Mean,1533,499,0.858,0.581,0.232,0.393,0.455,0.769
HpszAuia,Median,1534,497,0.858,0.578,0.228,0.399,0.447,0.781
9qxAWvMW,Mean,1535,487,0.859,0.578,0.267,0.379,0.522,0.742
9qxAWvMW,Median,1535,495,0.859,0.580,0.274,0.399,0.537,0.780
98iRhevU,Mean,1529,490,0.855,0.577,0.244,0.367,0.478,0.718
98iRhevU,Median,1532,490,0.857,0.575,0.265,0.409,0.518,0.802
H9tyjuRB,Mean,1534,499,0.858,0.581,0.244,0.370,0.477,0.725
H9tyjuRB,Median,1537,509,0.860,0.584,0.241,0.376,0.471,0.737
8C2FxL5e,Mean,1539,503,0.861,0.583,0.237,0.369,0.463,0.722
8C2FxL5e,Median,1542,508,0.862,0.585,0.271,0.392,0.530,0.768
5N1i1NsJ,Mean,1533,488,0.858,0.578,0.277,0.390,0.543,0.763
5N1i1NsJ,Median,1536,492,0.859,0.579,0.286,0.409,0.560,0.800
3TTVkT7c,Mean,1535,499,0.859,0.581,0.288,0.399,0.565,0.782
3TTVkT7c,Median,1535,498,0.859,0.581,0.293,0.396,0.574,0.776
E5xhAhxY,Mean,1527,484,0.855,0.575,0.276,0.372,0.540,0.729
E5xhAhxY,Median,1534,494,0.858,0.578,0.282,0.389,0.553,0.762
2nyCHLrt,Mean,1534,491,0.858,0.579,0.267,0.388,0.523,0.759
2nyCHLrt,Median,1539,486,0.861,0.579,0.272,0.404,0.532,0.791
6UvA3z3s,Mean,1534,479,0.858,0.575,0.270,0.391,0.529,0.765
6UvA3z3s,Median,1539,479,0.861,0.576,0.270,0.399,0.528,0.782
4n2or6zo,Mean,1520,469,0.851,0.568,0.219,0.358,0.430,0.701
4n2or6zo,Median,1535,470,0.859,0.573,0.229,0.411,0.448,0.805
AP7qoGT4,Mean,1533,485,0.858,0.577,0.255,0.383,0.498,0.749
AP7qoGT4,Median,1537,482,0.860,0.580,0.280,0.389,0.549,0.761
6NmKxzGA,Mean,1535,491,0.859,0.579,0.244,0.378,0.479,0.740
6NmKxzGA,Median,1538,492,0.860,0.578,0.249,0.400,0.488,0.784
EKyyFjT8,Mean,1530,489,0.856,0.577,0.286,0.401,0.559,0.786
EKyyFjT8,Median,1535,492,0.859,0.575,0.292,0.406,0.573,0.794
7EVH2k5X,Mean,1525,498,0.853,0.578,0.233,0.359,0.455,0.702
7EVH2k5X,Median,1536,495,0.859,0.581,0.224,0.380,0.439,0.744
EEw7bWcz,Mean,1529,488,0.856,0.577,0.272,0.395,0.532,0.773
EEw7bWcz,Median,1530,499,0.856,0.577,0.274,0.396,0.536,0.776
98QjrEHf,Mean,1537,484,0.860,0.577,0.245,0.388,0.480,0.759
98QjrEHf,Median,1537,488,0.860,0.579,0.253,0.407,0.495,0.797
CoGag5j1,Mean,1533,490,0.858,0.578,0.251,0.395,0.492,0.774
CoGag5j1,Median,1536,489,0.859,0.577,0.260,0.399,0.508,0.782
CaFVE69g,Mean,1548,519,0.866,0.590,0.118,0.401,0.231,0.786
CaFVE69g,Median,1548,519,0.866,0.590,0.118,0.401,0.231,0.786
HgrgNPfY,Mean,1529,465,0.855,0.570,0.254,0.385,0.498,0.753
HgrgNPfY,Median,1529,470,0.855,0.572,0.254,0.404,0.498,0.791
7qf8xDht,Mean,1536,492,0.860,0.580,0.236,0.378,0.461,0.739
7qf8xDht,Median,1539,497,0.861,0.581,0.235,0.400,0.460,0.784
7vCtR8xM,Mean,1533,493,0.858,0.579,0.246,0.369,0.482,0.722
7vCtR8xM,Median,1537,491,0.860,0.579,0.272,0.393,0.532,0.769
BU6NHaRV,Mean,1535,499,0.859,0.581,0.241,0.385,0.471,0.753
BU6NHaRV,Median,1535,499,0.859,0.580,0.251,0.406,0.492,0.794
4AB4JAWb,Mean,1545,488,0.864,0.581,0.222,0.388,0.434,0.759
4AB4JAWb,Median,1543,487,0.863,0.581,0.252,0.396,0.494,0.776
Cm4airKB,Mean,1472,450,0.823,0.549,0.213,0.323,0.417,0.632
Cm4airKB,Median,1497,460,0.837,0.559,0.214,0.328,0.419,0.643
9CjWMspq,Mean,1533,491,0.858,0.579,0.263,0.389,0.515,0.762
9CjWMspq,Median,1535,492,0.859,0.580,0.256,0.399,0.502,0.782
2czjop4Y,Mean,1513,515,0.846,0.579,0.242,0.301,0.473,0.589
2czjop4Y,Median,1513,515,0.846,0.579,0.242,0.301,0.473,0.589
A8vNkfP4,Mean,1527,477,0.854,0.573,0.228,0.351,0.446,0.687
A8vNkfP4,Median,1532,475,0.857,0.571,0.255,0.342,0.499,0.670
HJAp1cJi,Mean,1535,489,0.859,0.578,0.226,0.384,0.442,0.751
HJAp1cJi,Median,1537,492,0.860,0.580,0.236,0.396,0.463,0.775
AiZSaHVt,Mean,1533,479,0.858,0.575,0.254,0.372,0.497,0.729
AiZSaHVt,Median,1535,487,0.859,0.578,0.254,0.382,0.497,0.749
95hXxVgF,Mean,1540,494,0.862,0.581,0.290,0.389,0.568,0.762
95hXxVgF,Median,1542,494,0.862,0.582,0.299,0.407,0.586,0.797
Hm8YczcD,Mean,1536,477,0.859,0.575,0.237,0.376,0.464,0.737
Hm8YczcD,Median,1535,475,0.859,0.574,0.242,0.402,0.474,0.788
H3n2gVjz,Mean,1529,494,0.856,0.578,0.221,0.330,0.432,0.646
H3n2gVjz,Median,1535,504,0.859,0.580,0.245,0.351,0.480,0.687
7C8dJu5C,Mean,1532,492,0.857,0.578,0.263,0.378,0.516,0.741
7C8dJu5C,Median,1538,488,0.860,0.578,0.282,0.392,0.553,0.768
pGUjdSpm,Mean,1529,479,0.855,0.574,0.238,0.348,0.466,0.682
pGUjdSpm,Median,1535,468,0.859,0.569,0.267,0.384,0.523,0.753
82Q2th8V,Mean,1539,485,0.861,0.578,0.259,0.394,0.508,0.771
82Q2th8V,Median,1542,491,0.862,0.580,0.271,0.395,0.531,0.774
6GHsDzra,Mean,1489,479,0.833,0.562,0.178,0.288,0.349,0.564
6GHsDzra,Median,1493,481,0.835,0.564,0.189,0.304,0.370,0.595
4PRFPF7f,Mean,1530,483,0.856,0.575,0.246,0.370,0.481,0.725
4PRFPF7f,Median,1538,485,0.860,0.578,0.260,0.404,0.508,0.791
EWPP53Zm,Mean,1538,492,0.860,0.580,0.254,0.390,0.498,0.764
EWPP53Zm,Median,1539,489,0.861,0.578,0.270,0.395,0.529,0.774
CZLpuUHn,Mean,1525,479,0.853,0.572,0.220,0.344,0.431,0.674
CZLpuUHn,Median,1533,479,0.858,0.573,0.225,0.353,0.440,0.691
CCzBYdGf,Mean,1535,495,0.859,0.580,0.249,0.376,0.487,0.736
CCzBYdGf,Median,1533,499,0.857,0.580,0.277,0.406,0.543,0.794
FPPo2aGY,Mean,1529,490,0.855,0.577,0.190,0.330,0.373,0.647
FPPo2aGY,Median,1533,473,0.858,0.573,0.178,0.342,0.348,0.671
Bi8MhxRt,Mean,1528,496,0.855,0.578,0.220,0.361,0.431,0.707
Bi8MhxRt,Median,1533,495,0.857,0.580,0.218,0.357,0.426,0.698
3npDv3eM,Mean,1494,467,0.836,0.560,0.188,0.283,0.368,0.555
3npDv3eM,Median,1494,470,0.836,0.561,0.185,0.282,0.362,0.552
HKebwAfF,Mean,1535,492,0.859,0.579,0.194,0.322,0.380,0.631
HKebwAfF,Median,1535,488,0.859,0.579,0.230,0.369,0.451,0.723
D6uUDTEg,Mean,1496,482,0.837,0.565,0.173,0.274,0.339,0.536
D6uUDTEg,Median,1494,487,0.836,0.565,0.190,0.283,0.371,0.554
26cnPXNA,Mean,1530,487,0.856,0.576,0.208,0.376,0.408,0.735
26cnPXNA,Median,1537,492,0.860,0.579,0.217,0.389,0.424,0.762
9obi1wz8,Mean,1534,479,0.858,0.575,0.264,0.393,0.516,0.770
9obi1wz8,Median,1538,473,0.860,0.573,0.280,0.410,0.549,0.804
HtS4FNNr,Mean,1538,501,0.861,0.583,0.215,0.380,0.420,0.745
HtS4FNNr,Median,1540,500,0.862,0.583,0.241,0.397,0.471,0.778
DH6uRyev,Mean,1530,491,0.856,0.578,0.250,0.358,0.490,0.701
DH6uRyev,Median,1535,489,0.859,0.581,0.269,0.391,0.527,0.765
AGGySGq5,Mean,1533,481,0.858,0.576,0.245,0.369,0.479,0.723
AGGySGq5,Median,1537,482,0.860,0.575,0.251,0.406,0.492,0.795
5LpsYxnc,Mean,1541,501,0.862,0.584,0.219,0.350,0.428,0.686
5LpsYxnc,Median,1543,507,0.863,0.583,0.224,0.336,0.438,0.659
81AbUvzd,Mean,1536,488,0.859,0.578,0.292,0.386,0.573,0.756
81AbUvzd,Median,1534,493,0.858,0.578,0.307,0.403,0.601,0.789
41qxHMi4,Mean,1539,496,0.861,0.581,0.251,0.392,0.491,0.768
41qxHMi4,Median,1539,504,0.861,0.582,0.267,0.414,0.523,0.811
9brFPScL,Mean,1541,499,0.862,0.583,0.242,0.394,0.474,0.771
9brFPScL,Median,1538,496,0.860,0.581,0.229,0.409,0.448,0.800
8bbAG9kt,Mean,1531,485,0.856,0.576,0.279,0.387,0.546,0.758
8bbAG9kt,Median,1534,496,0.858,0.579,0.283,0.405,0.554,0.793
B8HQAQaN,Mean,1530,495,0.856,0.579,0.253,0.376,0.496,0.736
B8HQAQaN,Median,1537,504,0.860,0.580,0.265,0.394,0.520,0.772
HdqvcQg6,Mean,1538,502,0.861,0.583,0.237,0.358,0.465,0.700
HdqvcQg6,Median,1539,494,0.861,0.583,0.252,0.375,0.493,0.735
F5CRSKK3,Mean,1530,491,0.856,0.577,0.260,0.379,0.508,0.742
F5CRSKK3,Median,1533,491,0.858,0.580,0.266,0.406,0.521,0.795
2SXmWNwS,Mean,1533,495,0.858,0.579,0.264,0.388,0.517,0.760
2SXmWNwS,Median,1536,501,0.859,0.582,0.268,0.397,0.525,0.777
ABNRHvGz,Mean,1534,502,0.858,0.582,0.188,0.316,0.368,0.620
ABNRHvGz,Median,1535,509,0.859,0.581,0.207,0.360,0.405,0.704
2LhJjdjN,Mean,1529,485,0.856,0.575,0.216,0.371,0.422,0.727
2LhJjdjN,Median,1533,485,0.857,0.574,0.217,0.393,0.424,0.770
GosJ8GHb,Mean,1530,490,0.856,0.577,0.235,0.396,0.460,0.776
GosJ8GHb,Median,1534,496,0.858,0.579,0.249,0.408,0.488,0.799
nC72iiYp,Mean,1526,497,0.854,0.578,0.246,0.391,0.483,0.766
nC72iiYp,Median,1535,500,0.859,0.578,0.243,0.408,0.475,0.798
AiD3zKxd,Mean,1534,499,0.858,0.581,0.251,0.371,0.492,0.727
AiD3zKxd,Median,1536,495,0.859,0.580,0.282,0.399,0.553,0.781
EEN4pf92,Mean,1534,507,0.858,0.583,0.240,0.376,0.469,0.737
EEN4pf92,Median,1536,507,0.859,0.584,0.269,0.390,0.526,0.763
Fa17nmHF,Mean,1537,498,0.860,0.582,0.226,0.400,0.442,0.784
Fa17nmHF,Median,1540,491,0.861,0.581,0.233,0.409,0.456,0.801
EyhATWGr,Mean,1539,491,0.861,0.580,0.249,0.383,0.488,0.749
EyhATWGr,Median,1542,497,0.862,0.579,0.226,0.413,0.442,0.808
CQKC4kB2,Mean,1533,486,0.858,0.577,0.262,0.379,0.513,0.743
CQKC4kB2,Median,1535,485,0.859,0.576,0.260,0.406,0.510,0.795
ALADNYWM,Mean,1533,488,0.858,0.577,0.219,0.357,0.429,0.699
ALADNYWM,Median,1537,485,0.860,0.574,0.211,0.397,0.412,0.778
FyQYFGPX,Mean,1539,496,0.861,0.582,0.227,0.368,0.445,0.720
FyQYFGPX,Median,1539,501,0.861,0.583,0.263,0.396,0.515,0.775
8o2RYHFM,Mean,1532,507,0.857,0.583,0.279,0.374,0.547,0.731
8o2RYHFM,Median,1540,513,0.861,0.586,0.290,0.392,0.568,0.768
ErnUUo8z,Mean,1535,499,0.859,0.581,0.230,0.365,0.450,0.715
ErnUUo8z,Median,1537,493,0.860,0.580,0.231,0.384,0.452,0.753
2iPD4A9V,Mean,1535,495,0.859,0.580,0.280,0.403,0.549,0.789
2iPD4A9V,Median,1536,500,0.859,0.581,0.284,0.410,0.556,0.804
EVvkB3Qg,Mean,1537,495,0.860,0.581,0.256,0.374,0.501,0.732
EVvkB3Qg,Median,1538,498,0.860,0.581,0.259,0.397,0.508,0.778
3xT3pV2B,Mean,1540,490,0.862,0.580,0.265,0.397,0.520,0.778
3xT3pV2B,Median,1538,480,0.860,0.575,0.271,0.416,0.531,0.815
FGT49uqW,Mean,1538,489,0.860,0.579,0.253,0.397,0.496,0.777
FGT49uqW,Median,1537,494,0.860,0.581,0.275,0.400,0.538,0.784
3Hzz2uim,Mean,1536,491,0.860,0.579,0.261,0.375,0.510,0.735
3Hzz2uim,Median,1536,488,0.859,0.577,0.268,0.379,0.526,0.742
2451rWKv,Mean,1534,501,0.858,0.581,0.255,0.363,0.499,0.712
2451rWKv,Median,1536,506,0.859,0.581,0.263,0.378,0.515,0.739
Bb4BP3Ev,Mean,1536,498,0.859,0.581,0.251,0.384,0.492,0.751
Bb4BP3Ev,Median,1536,500,0.859,0.581,0.269,0.388,0.527,0.759
DDMM7C21,Mean,1538,492,0.861,0.580,0.232,0.398,0.454,0.780
DDMM7C21,Median,1541,490,0.862,0.580,0.257,0.407,0.503,0.798
AqfUYAFP,Mean,1494,476,0.836,0.563,0.178,0.280,0.350,0.549
AqfUYAFP,Median,1496,481,0.837,0.564,0.187,0.290,0.365,0.568
C6AwEu3a,Mean,1471,438,0.823,0.546,0.193,0.284,0.378,0.557
C6AwEu3a,Median,1490,467,0.834,0.558,0.210,0.300,0.411,0.588
9aUUBU9A,Mean,1533,488,0.858,0.578,0.255,0.393,0.499,0.769
9aUUBU9A,Median,1539,487,0.861,0.578,0.264,0.402,0.517,0.787
5MDRywsB,Mean,1535,495,0.859,0.580,0.256,0.379,0.500,0.743
5MDRywsB,Median,1539,507,0.861,0.584,0.272,0.391,0.532,0.765
5PNy1biH,Mean,1530,487,0.856,0.576,0.227,0.359,0.444,0.702
5PNy1biH,Median,1536,485,0.859,0.574,0.257,0.376,0.503,0.737
25ZARB8B,Mean,1533,499,0.857,0.581,0.274,0.385,0.536,0.753
25ZARB8B,Median,1532,504,0.857,0.582,0.273,0.391,0.535,0.766
HVqbYJgH,Mean,1538,501,0.861,0.583,0.271,0.405,0.530,0.793
HVqbYJgH,Median,1539,505,0.861,0.584,0.295,0.407,0.577,0.797
FGF3Z7Rt,Mean,1537,496,0.860,0.581,0.269,0.379,0.526,0.743
FGF3Z7Rt,Median,1535,489,0.859,0.577,0.283,0.396,0.554,0.775
81cdDcQ3,Mean,1534,496,0.858,0.580,0.266,0.372,0.521,0.729
81cdDcQ3,Median,1539,498,0.861,0.582,0.291,0.392,0.569,0.767
CwAU4WGy,Mean,1534,485,0.858,0.577,0.291,0.401,0.569,0.784
CwAU4WGy,Median,1534,483,0.858,0.576,0.286,0.406,0.560,0.795
DCgEjpXK,Mean,1534,488,0.858,0.578,0.235,0.383,0.461,0.750
DCgEjpXK,Median,1539,485,0.861,0.580,0.267,0.404,0.523,0.792
4PeGtW7j,Mean,1529,492,0.856,0.578,0.219,0.359,0.430,0.702
4PeGtW7j,Median,1532,508,0.857,0.582,0.210,0.384,0.411,0.752
9G2N1tW9,Mean,1534,497,0.858,0.580,0.260,0.383,0.509,0.749
9G2N1tW9,Median,1533,496,0.857,0.581,0.256,0.380,0.501,0.744
56dfPEcm,Mean,1496,481,0.837,0.565,0.139,0.247,0.273,0.484
56dfPEcm,Median,1502,483,0.840,0.565,0.146,0.271,0.286,0.531
8BG9oy3t,Mean,1532,488,0.857,0.577,0.274,0.391,0.536,0.765
8BG9oy3t,Median,1534,484,0.858,0.578,0.284,0.414,0.556,0.810
B7Carb6E,Mean,1535,488,0.859,0.578,0.065,0.289,0.126,0.565
B7Carb6E,Median,1535,488,0.859,0.578,0.065,0.289,0.126,0.565
Anara9qw,Mean,1533,474,0.858,0.574,0.258,0.389,0.505,0.762
Anara9qw,Median,1535,478,0.859,0.574,0.264,0.391,0.516,0.766
BWQyzbv9,Mean,1514,453,0.847,0.562,0.249,0.380,0.488,0.744
BWQyzbv9,Median,1534,457,0.858,0.570,0.228,0.383,0.447,0.751
3hsghu9i,Mean,1537,491,0.860,0.579,0.268,0.397,0.524,0.778
3hsghu9i,Median,1537,485,0.860,0.579,0.294,0.404,0.575,0.791
HvNzRtL2,Mean,1535,503,0.859,0.582,0.201,0.335,0.394,0.657
HvNzRtL2,Median,1540,512,0.861,0.586,0.228,0.367,0.447,0.719
Bat6DHaw,Mean,1532,478,0.857,0.574,0.272,0.383,0.532,0.750
Bat6DHaw,Median,1537,487,0.860,0.576,0.275,0.399,0.538,0.781
6ww6gHBq,Mean,1539,501,0.861,0.583,0.251,0.385,0.491,0.754
6ww6gHBq,Median,1544,486,0.864,0.579,0.261,0.412,0.511,0.807
6m5vsg6X,Mean,1524,489,0.853,0.575,0.000,0.145,0.000,0.284
6m5vsg6X,Median,1536,477,0.859,0.574,0.000,0.113,0.000,0.221
9jnYKtJo,Mean,1537,494,0.860,0.581,0.231,0.375,0.452,0.733
9jnYKtJo,Median,1537,491,0.860,0.582,0.221,0.384,0.433,0.752
HyV9NJ5o,Mean,1536,502,0.859,0.582,0.242,0.376,0.473,0.735
HyV9NJ5o,Median,1540,504,0.861,0.584,0.231,0.391,0.451,0.765
F97xU2xE,Mean,1527,488,0.854,0.576,0.246,0.368,0.481,0.720
F97xU2xE,Median,1530,483,0.856,0.575,0.282,0.409,0.552,0.801
4wKzRewS,Mean,1533,498,0.858,0.580,0.259,0.385,0.507,0.755
4wKzRewS,Median,1539,503,0.861,0.583,0.275,0.412,0.539,0.808
F1jcFv9o,Mean,1532,510,0.857,0.584,0.230,0.352,0.450,0.689
F1jcFv9o,Median,1535,504,0.859,0.582,0.249,0.330,0.487,0.645
Dmfdhvca,Mean,1532,493,0.857,0.579,0.270,0.381,0.528,0.746
Dmfdhvca,Median,1531,490,0.857,0.579,0.269,0.377,0.527,0.739
9tV89mr1,Mean,1536,486,0.859,0.578,0.257,0.373,0.504,0.731
9tV89mr1,Median,1537,491,0.860,0.579,0.285,0.396,0.558,0.775
ikoxx5qM,Mean,1488,467,0.833,0.559,0.149,0.266,0.292,0.520
ikoxx5qM,Median,1496,473,0.837,0.562,0.129,0.277,0.253,0.542
6xz2hw8j,Mean,1534,492,0.858,0.579,0.278,0.398,0.545,0.780
6xz2hw8j,Median,1536,501,0.859,0.576,0.286,0.406,0.560,0.795
7b7VuKUv,Mean,1536,501,0.859,0.582,0.280,0.403,0.549,0.789
7b7VuKUv,Median,1538,499,0.860,0.584,0.279,0.420,0.547,0.823
DWaYTNmF,Mean,1531,491,0.857,0.578,0.252,0.380,0.493,0.745
DWaYTNmF,Median,1534,483,0.858,0.575,0.265,0.384,0.519,0.751
6Zg2okLW,Mean,1535,500,0.859,0.581,0.227,0.346,0.445,0.678
6Zg2okLW,Median,1543,505,0.863,0.584,0.211,0.344,0.414,0.673
FfWWghqk,Mean,1537,500,0.860,0.582,0.312,0.406,0.612,0.796
FfWWghqk,Median,1539,489,0.861,0.579,0.315,0.406,0.617,0.794
F526RZw4,Mean,1534,492,0.858,0.579,0.229,0.370,0.447,0.724
F526RZw4,Median,1536,489,0.859,0.578,0.228,0.390,0.446,0.765
7Z8h6kgJ,Mean,1537,493,0.860,0.580,0.233,0.384,0.456,0.753
7Z8h6kgJ,Median,1537,500,0.860,0.582,0.252,0.398,0.494,0.779
Dk8Q8aPW,Mean,1534,495,0.858,0.580,0.236,0.370,0.462,0.725
Dk8Q8aPW,Median,1535,501,0.859,0.583,0.247,0.385,0.483,0.754
HoDDf2Pf,Mean,1494,470,0.836,0.561,0.179,0.274,0.351,0.536
HoDDf2Pf,Median,1491,471,0.834,0.562,0.194,0.272,0.380,0.532
BPs1iL3K,Mean,1535,496,0.859,0.580,0.243,0.363,0.476,0.712
BPs1iL3K,Median,1537,500,0.860,0.581,0.271,0.384,0.530,0.752
24xpPUt8,Mean,1538,491,0.861,0.580,0.227,0.390,0.445,0.764
24xpPUt8,Median,1540,490,0.861,0.580,0.229,0.388,0.448,0.760
4gkq8UXh,Mean,1536,493,0.859,0.580,0.251,0.370,0.492,0.725
4gkq8UXh,Median,1539,495,0.861,0.580,0.268,0.399,0.525,0.782
Fk3waufb,Mean,1520,452,0.850,0.563,0.282,0.375,0.553,0.735
Fk3waufb,Median,1524,474,0.853,0.567,0.299,0.390,0.586,0.764
5YY7Zigc,Mean,1536,509,0.859,0.585,0.257,0.385,0.504,0.755
5YY7Zigc,Median,1537,504,0.860,0.580,0.250,0.401,0.490,0.785
3fcseHzv,Mean,1537,495,0.860,0.581,0.231,0.389,0.452,0.761
3fcseHzv,Median,1538,496,0.860,0.581,0.246,0.400,0.482,0.784
5cM2eDHs,Mean,1547,501,0.865,0.585,0.264,0.404,0.517,0.791
5cM2eDHs,Median,1544,505,0.864,0.586,0.251,0.408,0.492,0.799
Bbh5vzp4,Mean,1536,500,0.859,0.582,0.235,0.378,0.459,0.741
Bbh5vzp4,Median,1535,508,0.859,0.583,0.246,0.393,0.482,0.770
CUX1Y1wm,Mean,1502,473,0.840,0.564,0.277,0.371,0.542,0.726
CUX1Y1wm,Median,1533,504,0.858,0.582,0.294,0.394,0.576,0.771
7Z9sPN7C,Mean,1534,497,0.858,0.580,0.238,0.358,0.466,0.700
7Z9sPN7C,Median,1542,490,0.862,0.580,0.253,0.341,0.496,0.668
CD38JCAz,Mean,1533,488,0.858,0.577,0.267,0.380,0.523,0.745
CD38JCAz,Median,1533,478,0.857,0.573,0.294,0.405,0.575,0.794
5yRbBQY5,Mean,1534,493,0.858,0.579,0.258,0.380,0.506,0.745
